,str_ID,affinity
689,56-04-2,-5.6
690,56-23-5,-3.4
691,56-29-1,-9.0
692,56-47-3,-5.5
693,56-49-5,-6.7
694,56-53-1,-6.2
695,56-54-2,-5.9
696,56-81-5,-4.0
697,56-85-9,-5.4
698,56030-54-7,-7.7
699,5635-50-7,-9.1
700,564-25-0,-5.3
701,565-60-6,-4.7
702,565-67-3,-4.8
703,56558-16-8,-4.7
704,569-31-3,-6.6
705,57-10-3,-6.9
706,57-11-4,-7.3
707,57-13-6,-3.5
708,57-24-9,-6.3
709,57-27-2,-5.2
710,57-42-1,-9.0
711,57-43-2,-7.7
712,57-44-3,-6.6
713,57-53-4,-6.3
714,57-62-5,-5.1
715,57-63-6,-6.1
716,57-83-0,-5.4
717,57-85-2,-5.7
718,57-91-0,-5.5
719,57-97-6,-6.7
720,571-58-4,-7.4
721,571-61-9,-7.8
722,575-41-7,-8.7
723,576-26-1,-6.6
724,578-06-3,-7.5
725,578-67-6,-7.2
726,57837-19-1,-4.9
727,579-10-2,-6.6
728,579-44-2,10.2
729,579-66-8,-7.1
730,58-08-2,-5.9
731,58-15-1,-5.8
732,58-18-4,-6.0
733,58-27-5,-7.5
734,58-38-8,-8.1
735,58-39-9,-8.9
736,58-40-2,-9.7
737,58-63-9,-5.9
738,580-13-2,-8.0
739,580-16-5,-7.4
740,581-40-8,-8.0
741,581-42-0,-7.3
742,5826-73-3,-6.9
743,583-53-9,-6.1
744,583-58-4,-5.7
745,583-60-8,-5.9
746,583-61-9,-5.7
747,5836-10-2,-8.6
748,584-02-1,-4.4
749,589-18-4,-6.2
750,589-55-9,-5.2
751,589-82-2,-5.4
752,589-90-2,-6.0
753,589-91-3,-5.9
754,589-93-5,-5.7
755,59-31-4,-7.8
756,59-46-1,-6.9
757,59-50-7,-6.5
758,59-67-6,-5.7
759,59-92-7,-7.2
760,590-12-5,-3.2
761,590-27-2,-3.2
762,590-36-3,-4.9
763,5902-51-2,-5.8
764,591-07-1,-4.8
765,591-17-3,-6.0
766,591-22-0,-5.8
767,591-24-2,-5.7
768,591-49-1,-5.9
769,591-50-4,-5.8
770,591-78-6,-5.0
771,591-93-5,-4.2
772,592-35-8,-5.0
773,592-41-6,-4.5
774,594-36-5,-4.1
775,594-60-5,-4.9
776,594-83-2,-5.4
777,595-33-5,-5.5
778,595-41-5,-5.2
779,597-49-9,-5.1
780,597-96-6,-5.3
